"WEO.Country.Code","ISO","Country","NGDP_R","NGDP_RPCH","NGDP","NGDPD","PPPGDP","NGDP_D","NGDPRPC","NGDPRPPPPC","NGDPPC","NGDPDPC","PPPPC","NGAP_NPGDP","PPPSH","PPPEX","NID_NGDP","NGSD_NGDP","PCPI","PCPIPCH","PCPIE","PCPIEPCH","FLIBOR6","TM_RPCH","TMG_RPCH","TX_RPCH","TXG_RPCH","LUR","LE","LP","GGR","GGR_NGDP","GGX","GGX_NGDP","GGXCNL","GGXCNL_NGDP","GGSB","GGSB_NPGDP","GGXONLB","GGXONLB_NGDP","GGXWDN","GGXWDN_NGDP","GGXWDG","GGXWDG_NGDP","NGDP_FY","BCA","BCA_NGDPD"
453,"QAT","Qatar",796.278,2.131,552.305,151.732,328.01,69.361,304197.607,116062.24,210993.974,57965.377,125307.644,NA,0.272,1.684,NA,42.373,108.05,2.677,NA,NA,NA,10.875,17.236,2.057,2.191,NA,NA,2.618,195.558,35.408,221.685,40.138,-26.127,-4.73,NA,NA,-17.927,-3.246,NA,NA,257.964,46.707,552.305,-8.27,-5.45
968,"ROU","Romania",637.723,4.823,767.377,189.047,443.529,120.331,32272.921,20789.411,38834.294,9567.021,22445.475,NA,0.367,1.73,23.785,21.707,112.465,-1.555,112.936,-0.534,NA,9.789,10.623,8.659,8.173,5.902,NA,19.76,220.783,28.771,239.082,31.156,-18.299,-2.385,-13.562,-1.744,-8.643,-1.126,212.087,27.638,297.449,38.762,767.377,-3.93,-2.079
922,"RUS","Russia",86148.6,-0.2,86148.6,1284.727,3881.33,100,598399.611,24971.064,598399.611,8923.888,26960.235,NA,3.216,22.196,23.95,25.858,1510.468,7.052,1494.757,5.367,NA,-4.265,1.45,1.61,2.55,5.525,NA,143.965,28181.5,32.713,31323.68,36.36,-3142.18,-3.647,-2937.963,-3.376,-2769.892,-3.215,NA,NA,13827.371,16.051,86148.6,24.401,1.899
714,"RWA","Rwanda",6307,5.982,6672,8.475,22.823,105.787,545909.925,1829.734,577502.937,733.566,1975.489,NA,0.019,292.334,25.884,6.065,109.03,5.723,112.956,7.284,NA,-5.15,-5.15,9.78,9.78,NA,NA,11.553,1565.161,23.459,1720.526,25.787,-155.365,-2.329,NA,NA,-89.234,-1.337,NA,NA,2487.794,37.287,6672,-1.336,-15.761
862,"WSM","Samoa",1.841,7.149,2.055,0.786,1.089,111.614,9402.602,5148.455,10494.627,4015.214,5558.575,NA,0.001,1.888,NA,NA,109.259,0.13,110.841,2.251,NA,NA,NA,NA,NA,NA,NA,0.196,0.741,36.063,0.75,36.476,-0.009,-0.414,NA,NA,NA,NA,NA,NA,1.081,52.581,2.055,-0.037,-4.738
135,"SMR","San Marino",1.232,2.197,1.414,1.565,1.989,114.838,35938.601,53748.25,41271.058,45670.897,58029.783,NA,0.002,0.711,20.993,NA,108.348,0.57,108.88,0.833,NA,NA,NA,NA,NA,8.597,NA,0.034,0.308,21.809,0.322,22.793,-0.014,-0.984,NA,NA,-0.01,-0.675,NA,NA,0.318,22.503,1.414,NA,NA
456,"SAU","Saudi Arabia",2587.759,1.671,2418.508,644.936,1757.078,93.46,81523.268,51269.869,76191.297,20317.679,55353.977,NA,1.456,1.376,30.933,27.232,105.6,2.029,105.331,1.152,NA,-16.334,-16.166,5.903,4.332,5.6,NA,31.743,519.449,21.478,935.516,38.682,-416.067,-17.203,NA,NA,-487.712,-20.166,-413.935,-17.115,316.645,13.093,2418.508,-23.87,-3.701
722,"SEN","Senegal",11045.018,6.228,11251.675,18.982,50.191,101.871,716668.487,3016.405,730077.654,1231.651,3256.689,NA,0.042,224.178,25.311,21.262,104.378,0.838,105.079,2.06,NA,2.856,3.036,5.445,7.22,NA,NA,15.412,2334.65,20.749,2703.87,24.031,-369.22,-3.281,-349.747,NA,-181.57,-1.614,NA,NA,5379.275,47.809,11251.675,-0.769,-4.049
942,"SRB","Serbia",3210.826,2.797,4261.927,38.3,101.858,132.736,454899.394,13366.131,603815.949,5426.201,14430.864,NA,0.084,41.842,19.079,15.974,183.86,1.122,182.356,1.532,NA,9.037,9.143,12.008,13.625,15.917,NA,7.058,1842.646,43.235,1893.319,44.424,-50.674,-1.189,-51.954,-1.215,80.929,1.899,3007.346,70.563,3114.144,73.069,4261.927,-1.189,-3.105
718,"SYC","Seychelles",8.431,4.503,19.014,1.427,2.563,225.516,89890.353,25311.436,202717.115,15219.117,27327.72,NA,0.002,7.418,30.221,10.154,102.987,-1.014,103.104,-0.215,NA,12.264,14.376,14.412,12.098,2.684,NA,0.094,7.205,37.895,7.166,37.69,0.039,0.205,NA,NA,0.746,3.925,9.68,50.909,13.131,69.06,19.014,-0.286,-20.067
