Country,"Gross domestic product, constant prices - Percent change","Gross domestic product, current prices - Purchasing power parity; international dollars","Gross domestic product per capita, constant prices - Purchasing power parity; 2011 international dollar",Output gap in percent of potential GDP - Percent of potential GDP,Total investment - Percent of GDP,Gross national savings - Percent of GDP,"Inflation, average consumer prices - Percent change",Unemployment rate - Percent of total labor force,General government primary net lending/borrowing - Percent of GDP,General government net debt - Percent of GDP,Current account balance - Percent of GDP
United States,1.567,18707.15,53548.883,-0.167,20.32,18.616,1.272,4.867,-2.299,81.238,-2.314
Yemen,-13.621,76.823,2442.485,,1.402,-3.724,-12.563,,-3.63,67.138,-5.127
Zimbabwe,0.665,32.422,2070.824,,15.556,19.109,-1.566,,-7.654,,-3.43
Algeria,3.2,609.703,13853.939,,53.949,37.416,6.398,10.498,-13.113,13.319,-16.532
Bhutan,7.316,6.585,7708.566,,62.668,33.31,7.642,3.2,0.389,,-29.357
Cabo Verde,4.706,3.564,6212.206,,37.163,34.763,-1.408,9,-0.769,121.019,-2.399
China,6.72,21313.994,14277.334,,44.142,45.944,2.003,4.02,-2.946,,1.802
Djibouti,6.5,3.348,3123.65,,47.521,38.077,2.7,,-10.318,30.939,-9.444
Ethiopia,8,177.602,1803.784,,37.999,32.669,7.266,,-1.871,50.93,-8.986
Gabon,2.082,35.817,16757.907,,34.174,24.267,2.086,,-2.386,,-9.907
Indonesia,5.033,3035.209,10866.686,,33.845,32.027,3.526,5.61,-1.012,23.833,-1.818
Islamic Republic of Iran,12.518,1551.084,17855.321,,33.534,37.56,9.05,12.425,-2.156,34.497,4.026
Ireland,4.914,323.385,62777.806,1.149,37.874,33.706,-0.2,8.392,1.646,64.383,-4.168
Kuwait,2.196,294.09,63553.831,,26.994,32.915,3.482,1.134,-13.761,,-4.561
Mauritania,1.82,16.39,4001.637,,39.906,24.823,1.472,,0.54,99.698,-15.083
Morocco,1.126,281.467,7559.371,,32.638,28.873,1.647,9.9,-1.829,64.371,-4.221
Nepal,0.589,72.023,2300.738,,33.882,40.201,9.932,,1.699,,6.319
Panama,4.989,96.976,22249.307,,44.65,39.184,0.74,5.494,-0.135,34.923,-5.465
Sri Lanka,4.469,262.01,11445.463,,34.979,32.842,4.004,4.4,-0.247,,-2.137
Suriname,-5.139,8.367,13481.103,,60.719,55.555,55.501,9.7,-6.032,,-5.164
Zambia,3.757,65.42,3624.618,,41.757,37.296,17.869,,-2.354,51.331,-4.461
